,구,동,계,비율,장애인취업자,대상자_수,수급자_수
324,양천구,목5동,712.0,0.04062767475,5.0,133.0,87.0
325,양천구,신정1동,550.0,0.03138373752,4.0,103.0,67.0
326,양천구,신월7동,1156.0,0.06596291013,8.0,216.0,141.0
327,양천구,신월4동,903.0,0.05152639087,7.0,169.0,110.0
328,영등포구,문래동,889.0,0.06133149362,41.0,158.0,90.0
329,영등포구,대림1동,838.0,0.05781303898,39.0,149.0,85.0
330,영등포구,대림2동,718.0,0.04953432218,33.0,127.0,73.0
331,영등포구,대림3동,1137.0,0.07844084167,52.0,202.0,115.0
332,영등포구,영등포본동,1054.0,0.07271472922,49.0,187.0,107.0
333,영등포구,영등포동,1020.0,0.07036909279,47.0,181.0,103.0
334,영등포구,도림동,892.0,0.06153846154,41.0,158.0,90.0
335,영등포구,양평2동,612.0,0.04222145567,28.0,108.0,62.0
336,영등포구,신길7동,567.0,0.03911693687,26.0,100.0,57.0
337,영등포구,신길3동,840.0,0.05795101759,39.0,149.0,85.0
338,영등포구,신길4동,615.0,0.04242842359,28.0,109.0,62.0
339,영등포구,신길6동,791.0,0.05457054157,37.0,140.0,80.0
340,영등포구,여의동,758.0,0.05229389445,35.0,134.0,77.0
341,영등포구,신길5동,544.0,0.03753018282,25.0,96.0,55.0
342,영등포구,당산2동,950.0,0.06553984132,44.0,168.0,96.0
343,영등포구,양평1동,668.0,0.04608485685,31.0,118.0,68.0
344,영등포구,신길1동,835.0,0.05760607106,39.0,148.0,85.0
345,영등포구,당산1동,767.0,0.05291479821,35.0,136.0,78.0
346,용산구,원효로1동,451.0,0.05867811606,10.0,82.0,47.0
347,용산구,청파동,821.0,0.1068175904,18.0,149.0,85.0
348,용산구,보광동,593.0,0.07715326568,13.0,107.0,61.0
349,용산구,서빙고동,371.0,0.04826958106,8.0,67.0,38.0
350,용산구,이태원2동,312.0,0.04059328649,7.0,56.0,32.0
351,용산구,이태원1동,231.0,0.03005464481,5.0,42.0,24.0
352,용산구,한강로동,500.0,0.06505334374,11.0,90.0,52.0
353,용산구,한남동,591.0,0.0768930523,13.0,107.0,61.0
354,용산구,이촌2동,355.0,0.04618787406,8.0,64.0,37.0
355,용산구,효창동,313.0,0.04072339318,7.0,57.0,32.0
356,용산구,원효로2동,458.0,0.05958886287,10.0,83.0,47.0
357,용산구,남영동,517.0,0.06726515743,12.0,94.0,53.0
358,용산구,용산2가동,455.0,0.05919854281,10.0,82.0,47.0
359,용산구,후암동,747.0,0.09718969555,17.0,135.0,77.0
360,용산구,이촌1동,496.0,0.06453291699,11.0,90.0,51.0
361,용산구,용문동,475.0,0.06180067655,11.0,86.0,49.0
362,은평구,불광1동,1720.0,0.07905865049,7.0,349.0,254.0
363,은평구,수색동,609.0,0.02799227799,3.0,124.0,90.0
364,은평구,불광2동,1441.0,0.06623460195,6.0,292.0,213.0
365,은평구,응암3동,1325.0,0.06090273947,6.0,269.0,196.0
366,은평구,역촌동,2153.0,0.0989612061,9.0,437.0,318.0
367,은평구,응암2동,984.0,0.04522890237,4.0,200.0,146.0
368,은평구,갈현1동,1049.0,0.04821658393,5.0,213.0,155.0
369,은평구,녹번동,1637.0,0.07524361096,7.0,332.0,242.0
370,은평구,구산동,2243.0,0.103097996,10.0,455.0,332.0
371,은평구,대조동,1231.0,0.0565820923,5.0,250.0,182.0
372,은평구,증산동,705.0,0.03240485383,3.0,143.0,104.0
373,은평구,신사2동,933.0,0.04288472146,4.0,189.0,138.0
374,은평구,신사1동,1226.0,0.05635227064,5.0,249.0,181.0
375,은평구,응암1동,1324.0,0.06085677514,6.0,269.0,196.0
376,은평구,진관동,1969.0,0.09050376908,9.0,400.0,291.0
377,은평구,갈현2동,1207.0,0.05547894834,5.0,245.0,178.0
378,종로구,사직동,277.0,0.04671951425,24.0,53.0,44.0
379,종로구,청운효자동,448.0,0.07556080283,39.0,86.0,71.0
380,종로구,혜화동,610.0,0.1028841289,53.0,117.0,97.0
381,종로구,교남동,356.0,0.06004385225,31.0,68.0,57.0
382,종로구,가회동,177.0,0.02985326362,15.0,34.0,28.0
383,종로구,종로1.2.3.4가동,383.0,0.06459773992,33.0,74.0,61.0
384,종로구,부암동,318.0,0.05363467701,28.0,61.0,51.0
385,종로구,삼청동,108.0,0.01821555068,9.0,21.0,17.0
386,종로구,이화동,323.0,0.05447798954,28.0,62.0,51.0
387,종로구,창신1동,285.0,0.0480688143,25.0,55.0,45.0
388,종로구,창신2동,501.0,0.08449991567,43.0,96.0,80.0
389,종로구,창신3동,336.0,0.05667060213,29.0,64.0,53.0
390,종로구,숭인1동,289.0,0.04874346433,25.0,55.0,46.0
391,종로구,숭인2동,422.0,0.07117557767,37.0,81.0,67.0
